SchoolYear,NameHospital,Sex,EpiUnderweight,EpiHealthyWeight,EpiOverweight,EpiObese,EpiOverweightAndObese,ValidCounts,UnvalidCounts,TotalCounts
2011,Western Isles,Female,3,109,12,18,30,142,30,172
2011,Western Isles,Male,1,112,10,15,25,138,25,163
2011,Fife,Female,16,1572,214,189,403,1991,403,2394
2011,Fife,Male,26,1496,234,205,439,1961,439,2400
2011,Tayside,Female,20,1454,258,202,460,1934,460,2394
2011,Tayside,Male,17,1556,241,207,448,2021,448,2469
2011,Greater Glasgow and Clyde,Female,35,4192,600,517,1117,5344,1117,6461
2011,Greater Glasgow and Clyde,Male,67,4306,667,568,1235,5608,1235,6843
2011,Lanarkshire,Female,71,2702,353,318,671,3444,671,4115
2011,Lanarkshire,Male,137,2795,362,339,701,3633,701,4334
2012,Ayrshire and Arran,Female,22,1379,215,205,420,1821,420,2241
2012,Ayrshire and Arran,Male,34,1445,265,213,478,1957,478,2435
2012,Borders,Female,2,477,60,49,109,588,109,697
2012,Borders,Male,2,437,75,48,123,562,123,685
2012,Dumfries and Galloway,Female,3,557,89,69,158,718,158,876
2012,Dumfries and Galloway,Male,10,540,96,65,161,711,161,872
2012,Forth Valley,Female,7,1327,202,132,334,1668,334,2002
2012,Forth Valley,Male,13,1319,196,146,342,1674,342,2016
2012,Grampian,Female,27,2150,347,226,573,2750,573,3323
2012,Grampian,Male,33,2204,337,288,625,2862,625,3487
2012,Highland,Female,12,1157,159,165,324,1493,324,1817
2012,Highland,Male,16,1234,236,164,400,1650,400,2050
2012,Lothian,Female,17,3365,512,341,853,4235,853,5088
2012,Lothian,Male,59,3356,511,422,933,4348,933,5281
2012,Orkney,Female,1,90,12,12,24,115,24,139
2012,Orkney,Male,2,64,13,16,29,95,29,124
2012,Shetland,Female,0,86,11,8,19,105,19,124
2012,Shetland,Male,0,97,11,19,30,127,30,157
2012,Western Isles,Female,3,85,14,11,25,113,25,138
2012,Western Isles,Male,2,98,17,22,39,139,39,178
2012,Fife,Female,12,1504,237,184,421,1937,421,2358
2012,Fife,Male,25,1586,265,186,451,2062,451,2513
2012,Tayside,Female,4,1611,255,188,443,2058,443,2501
2012,Tayside,Male,20,1596,286,215,501,2117,501,2618
2012,Greater Glasgow and Clyde,Female,52,4481,646,542,1188,5721,1188,6909
2012,Greater Glasgow and Clyde,Male,88,4479,672,534,1206,5773,1206,6979
2012,Lanarkshire,Female,68,2718,350,298,648,3434,648,4082
2012,Lanarkshire,Male,98,2740,419,328,747,3585,747,4332
2013,Ayrshire and Arran,Female,20,1300,231,238,469,1789,469,2258
2013,Ayrshire and Arran,Male,32,1351,305,272,577,1960,577,2537
2013,Borders,Female,3,421,78,56,134,558,134,692
2013,Borders,Male,3,433,67,46,113,549,113,662
2013,Dumfries and Galloway,Female,2,484,84,62,146,632,146,778
2013,Dumfries and Galloway,Male,6,455,98,78,176,637,176,813
2013,Forth Valley,Female,6,1237,232,165,397,1640,397,2037
2013,Forth Valley,Male,17,1259,203,166,369,1645,369,2014
2013,Grampian,Female,14,2191,393,273,666,2871,666,3537
2013,Grampian,Male,26,2180,420,358,778,2984,778,3762
2013,Highland,Female,8,1159,189,171,360,1527,360,1887
2013,Highland,Male,14,1211,213,198,411,1636,411,2047
2013,Lothian,Female,22,3306,532,396,928,4256,928,5184
2013,Lothian,Male,42,3445,552,456,1008,4495,1008,5503
2013,Orkney,Female,1,74,7,11,18,93,18,111
2013,Orkney,Male,1,73,26,23,49,123,49,172
2013,Shetland,Female,1,106,15,6,21,128,21,149
2013,Shetland,Male,1,106,16,9,25,132,25,157
2013,Western Isles,Female,2,93,12,20,32,127,32,159
2013,Western Isles,Male,2,104,24,12,36,142,36,178
2013,Fife,Female,19,1524,238,214,452,1995,452,2447
2013,Fife,Male,25,1533,279,215,494,2052,494,2546
2013,Tayside,Female,8,1623,284,215,499,2130,499,2629
2013,Tayside,Male,19,1679,278,225,503,2201,503,2704
2013,Greater Glasgow and Clyde,Female,43,4502,666,483,1149,5694,1149,6843
2013,Greater Glasgow and Clyde,Male,98,4504,642,593,1235,5837,1235,7072
2013,Lanarkshire,Female,50,2780,388,342,730,3560,730,4290
2013,Lanarkshire,Male,84,2880,372,319,691,3655,691,4346
2014,Ayrshire and Arran,Female,13,1428,228,183,411,1852,411,2263
2014,Ayrshire and Arran,Male,33,1413,227,233,460,1906,460,2366
2014,Borders,Female,3,415,63,56,119,537,119,656
2014,Borders,Male,8,449,62,47,109,566,109,675
2014,Dumfries and Galloway,Female,0,521,95,65,160,681,160,841
2014,Dumfries and Galloway,Male,1,531,108,101,209,741,209,950
2014,Forth Valley,Female,11,1338,205,146,351,1700,351,2051
2014,Forth Valley,Male,16,1321,204,149,353,1690,353,2043
2014,Grampian,Female,15,2218,328,277,605,2838,605,3443
2014,Grampian,Male,39,2267,383,306,689,2995,689,3684
2014,Highland,Female,9,1120,202,159,361,1490,361,1851
2014,Highland,Male,11,1188,212,167,379,1578,379,1957
2014,Lothian,Female,25,3372,512,412,924,4321,924,5245
2014,Lothian,Male,54,3396,513,438,951,4401,951,5352
2014,Orkney,Female,0,80,13,5,18,98,18,116
2014,Orkney,Male,0,86,17,12,29,115,29,144
2014,Shetland,Female,0,99,14,15,29,128,29,157
2014,Shetland,Male,0,110,23,26,49,159,49,208
2014,Western Isles,Female,2,67,17,14,31,100,31,131
2014,Western Isles,Male,1,85,13,13,26,112,26,138
2014,Fife,Female,17,1491,240,213,453,1961,453,2414
2014,Fife,Male,16,1580,282,218,500,2096,500,2596
2014,Tayside,Female,9,1561,277,216,493,2063,493,2556
2014,Tayside,Male,21,1546,270,238,508,2075,508,2583
2014,Greater Glasgow and Clyde,Female,65,4474,630,515,1145,5684,1145,6829
2014,Greater Glasgow and Clyde,Male,106,4623,695,516,1211,5940,1211,7151
2014,Lanarkshire,Female,44,2837,409,305,714,3595,714,4309
2014,Lanarkshire,Male,95,2753,359,351,710,3558,710,4268
2015,Ayrshire and Arran,Female,19,1440,258,213,471,1930,471,2401
2015,Ayrshire and Arran,Male,27,1405,246,217,463,1895,463,2358
2015,Borders,Female,3,407,56,59,115,525,115,640
2015,Borders,Male,5,447,65,44,109,561,109,670
2015,Dumfries and Galloway,Female,1,502,101,88,189,692,189,881
2015,Dumfries and Galloway,Male,4,497,112,80,192,693,192,885
2015,Forth Valley,Female,16,1230,188,160,348,1594,348,1942
2015,Forth Valley,Male,22,1223,228,139,367,1612,367,1979
2015,Grampian,Female,28,2206,344,257,601,2835,601,3436
2015,Grampian,Male,51,2171,350,356,706,2928,706,3634
2015,Highland,Female,8,1156,197,156,353,1517,353,1870
2015,Highland,Male,19,1211,193,169,362,1592,362,1954
2015,Lothian,Female,39,3368,519,396,915,4322,915,5237
2015,Lothian,Male,60,3393,531,410,941,4394,941,5335
2015,Orkney,Female,0,57,10,9,19,76,19,95
2015,Orkney,Male,0,67,15,10,25,92,25,117
2015,Shetland,Female,1,95,19,8,27,123,27,150
2015,Shetland,Male,1,114,21,14,35,150,35,185
2015,Western Isles,Female,0,95,8,10,18,113,18,131
2015,Western Isles,Male,1,120,15,13,28,149,28,177
2015,Fife,Female,17,1544,224,180,404,1965,404,2369
2015,Fife,Male,15,1577,270,216,486,2078,486,2564
2015,Tayside,Female,9,1499,271,210,481,1989,481,2470
2015,Tayside,Male,23,1607,267,207,474,2104,474,2578
2015,Greater Glasgow and Clyde,Female,48,4176,639,509,1148,5372,1148,6520
2015,Greater Glasgow and Clyde,Male,78,4304,579,545,1124,5506,1124,6630
2015,Lanarkshire,Female,39,2650,383,321,704,3393,704,4097
2015,Lanarkshire,Male,84,2663,428,355,783,3530,783,4313
2016,Ayrshire and Arran,Female,25,1394,234,216,450,1869,450,2319
2016,Ayrshire and Arran,Male,26,1440,258,250,508,1974,508,2482
2016,Borders,Female,2,422,64,49,113,537,113,650
2016,Borders,Male,5,429,76,62,138,572,138,710
2016,Dumfries and Galloway,Female,4,460,104,84,188,652,188,840
2016,Dumfries and Galloway,Male,3,464,107,90,197,664,197,861
2016,Forth Valley,Female,5,1230,197,136,333,1568,333,1901
2016,Forth Valley,Male,11,1271,204,155,359,1641,359,2000
2016,Grampian,Female,9,2142,335,270,605,2756,605,3361
2016,Grampian,Male,27,2261,378,310,688,2976,688,3664
2016,Highland,Female,6,1066,189,144,333,1405,333,1738
2016,Highland,Male,14,1078,181,162,343,1435,343,1778
2016,Lothian,Female,37,3045,481,419,900,3982,900,4882
2016,Lothian,Male,58,3180,515,458,973,4211,973,5184
2016,Orkney,Female,1,77,15,5,20,98,20,118
2016,Orkney,Male,0,66,14,14,28,94,28,122
2016,Shetland,Female,0,100,16,12,28,128,28,156
2016,Shetland,Male,1,86,18,20,38,125,38,163
2016,Western Isles,Female,0,81,12,12,24,105,24,129
2016,Western Isles,Male,1,106,13,13,26,133,26,159
2016,Fife,Female,14,1431,244,197,441,1886,441,2327
2016,Fife,Male,27,1480,229,211,440,1947,440,2387
2016,Tayside,Female,4,1620,272,223,495,2119,495,2614
2016,Tayside,Male,21,1568,284,258,542,2131,542,2673
2016,Greater Glasgow and Clyde,Female,34,4036,586,533,1119,5189,1119,6308
2016,Greater Glasgow and Clyde,Male,85,4089,622,538,1160,5334,1160,6494
2016,Lanarkshire,Female,30,2610,427,332,759,3399,759,4158
2016,Lanarkshire,Male,62,2769,425,349,774,3605,774,4379
2017,Ayrshire and Arran,Female,20,1313,199,162,361,1694,361,2055
2017,Ayrshire and Arran,Male,30,1363,229,185,414,1807,414,2221
2017,Borders,Female,2,428,62,57,119,549,119,668
2017,Borders,Male,4,432,75,46,121,557,121,678
2017,Dumfries and Galloway,Female,4,502,100,68,168,674,168,842
2017,Dumfries and Galloway,Male,7,515,81,82,163,685,163,848
2017,Forth Valley,Female,9,1114,154,140,294,1417,294,1711
2017,Forth Valley,Male,28,1175,193,156,349,1552,349,1901
2017,Grampian,Female,14,2247,395,296,691,2952,691,3643
2017,Grampian,Male,26,2248,366,289,655,2929,655,3584
2017,Highland,Female,8,1133,198,172,370,1511,370,1881
2017,Highland,Male,20,1185,223,156,379,1584,379,1963
2017,Lothian,Female,41,3410,490,397,887,4338,887,5225
2017,Lothian,Male,58,3360,544,509,1053,4471,1053,5524
2017,Orkney,Female,0,60,11,7,18,78,18,96
2017,Orkney,Male,0,78,18,9,27,105,27,132
2017,Shetland,Female,0,96,17,11,28,124,28,152
2017,Shetland,Male,0,108,22,19,41,149,41,190
2017,Western Isles,Female,0,94,17,19,36,130,36,166
2017,Western Isles,Male,1,96,15,16,31,128,31,159
2017,Fife,Female,10,1321,214,157,371,1702,371,2073
2017,Fife,Male,20,1440,231,216,447,1907,447,2354
2017,Tayside,Female,11,1456,276,211,487,1954,487,2441
2017,Tayside,Male,28,1501,280,267,547,2076,547,2623
2017,Greater Glasgow and Clyde,Female,40,4386,665,500,1165,5591,1165,6756
2017,Greater Glasgow and Clyde,Male,87,4418,672,589,1261,5766,1261,7027
2017,Lanarkshire,Female,32,2469,365,297,662,3163,662,3825
2017,Lanarkshire,Male,78,2502,390,365,755,3335,755,4090
2018,Ayrshire and Arran,Female,13,969,166,116,282,1264,282,1546
2018,Ayrshire and Arran,Male,25,982,166,150,316,1323,316,1639
2018,Borders,Female,3,360,65,45,110,473,110,583
2018,Borders,Male,1,382,66,43,109,492,109,601
2018,Dumfries and Galloway,Female,1,358,62,54,116,475,116,591
2018,Dumfries and Galloway,Male,6,377,74,67,141,524,141,665
2018,Forth Valley,Female,8,1101,179,140,319,1428,319,1747
2018,Forth Valley,Male,20,1180,172,164,336,1536,336,1872
2018,Grampian,Female,14,1870,315,194,509,2393,509,2902
2018,Grampian,Male,22,1956,295,231,526,2504,526,3030
2018,Highland,Female,8,953,162,146,308,1269,308,1577
2018,Highland,Male,9,949,219,178,397,1355,397,1752
2018,Lothian,Female,31,3425,464,397,861,4317,861,5178
2018,Lothian,Male,62,3431,538,450,988,4481,988,5469
2018,Orkney,Female,0,66,11,11,22,88,22,110
2018,Orkney,Male,0,66,25,21,46,112,46,158
2018,Shetland,Female,1,90,8,9,17,108,17,125
2018,Shetland,Male,0,91,13,15,28,119,28,147
2018,Western Isles,Female,0,77,14,7,21,98,21,119
2018,Western Isles,Male,2,70,21,15,36,108,36,144
2018,Fife,Female,9,1053,146,115,261,1323,261,1584
2018,Fife,Male,18,1036,155,150,305,1359,305,1664
2018,Tayside,Female,4,1039,161,132,293,1336,293,1629
2018,Tayside,Male,18,1058,175,145,320,1396,320,1716
2018,Greater Glasgow and Clyde,Female,20,3347,527,395,922,4289,922,5211
2018,Greater Glasgow and Clyde,Male,51,3269,487,502,989,4309,989,5298
2018,Lanarkshire,Female,39,2457,389,332,721,3217,721,3938
2018,Lanarkshire,Male,58,2506,415,405,820,3384,820,4204
2019,Ayrshire and Arran,Female,9,725,121,90,211,945,211,1156
2019,Ayrshire and Arran,Male,13,750,115,113,228,991,228,1219
2019,Dumfries and Galloway,Female,3,447,62,72,134,584,134,718
2019,Dumfries and Galloway,Male,8,456,82,75,157,621,157,778
2019,Forth Valley,Female,7,695,104,74,178,880,178,1058
2019,Forth Valley,Male,17,670,110,85,195,882,195,1077
2019,Highland,Female,7,813,157,107,264,1084,264,1348
2019,Highland,Male,13,765,165,110,275,1053,275,1328
2019,Lothian,Female,30,3080,449,381,830,3940,830,4770
2019,Lothian,Male,50,3172,462,404,866,4088,866,4954
2019,Orkney,Female,0,46,7,7,14,60,14,74
2019,Orkney,Male,1,66,10,8,18,85,18,103
2019,Shetland,Female,0,81,16,7,23,104,23,127
2019,Shetland,Male,0,59,13,8,21,80,21,101
2019,Western Isles,Female,0,94,27,16,43,137,43,180
2019,Western Isles,Male,0,89,26,16,42,131,42,173
2019,Fife,Female,7,968,150,147,297,1272,297,1569
2019,Fife,Male,21,1060,171,157,328,1409,328,1737
2019,Lanarkshire,Female,13,1106,165,167,332,1451,332,1783
2019,Lanarkshire,Male,15,1121,192,150,342,1478,342,1820
2020,Ayrshire and Arran,Female,14,1011,216,267,483,1508,483,1991
2020,Ayrshire and Arran,Male,26,1045,217,307,524,1595,524,2119
2020,Highland,Female,7,1100,231,231,462,1569,462,2031
2020,Highland,Male,4,1087,263,279,542,1633,542,2175
2020,Lothian,Female,17,2373,455,448,903,3293,903,4196
2020,Lothian,Male,31,2485,456,531,987,3503,987,4490
2020,Orkney,Female,0,69,8,12,20,89,20,109
2020,Orkney,Male,2,67,11,16,27,96,27,123
2020,Shetland,Female,0,71,15,17,32,103,32,135
2020,Shetland,Male,3,87,16,17,33,123,33,156
2020,Western Isles,Female,1,56,11,9,20,77,20,97
2020,Western Isles,Male,3,64,13,18,31,98,31,129
2020,Greater Glasgow and Clyde,Female,14,2565,483,533,1016,3595,1016,4611
2020,Greater Glasgow and Clyde,Male,34,2601,534,564,1098,3733,1098,4831
2021,Ayrshire and Arran,Female,19,1149,228,200,428,1596,428,2024
2021,Ayrshire and Arran,Male,24,1204,241,231,472,1700,472,2172
2021,Borders,Female,1,437,65,64,129,567,129,696
2021,Borders,Male,11,405,69,61,130,546,130,676
2021,Dumfries and Galloway,Female,6,833,164,182,346,1185,346,1531
2021,Dumfries and Galloway,Male,11,859,151,175,326,1196,326,1522
2021,Forth Valley,Female,4,1055,157,125,282,1341,282,1623
2021,Forth Valley,Male,17,1097,162,167,329,1443,329,1772
2021,Grampian,Female,16,2070,329,260,589,2675,589,3264
2021,Grampian,Male,40,2052,352,316,668,2760,668,3428
2021,Highland,Female,8,1034,184,162,346,1388,346,1734
2021,Highland,Male,15,1052,211,202,413,1480,413,1893
2021,Lothian,Female,35,3212,470,451,921,4168,921,5089
2021,Lothian,Male,51,3177,532,504,1036,4264,1036,5300
2021,Orkney,Female,0,61,13,10,23,84,23,107
2021,Orkney,Male,0,70,13,10,23,93,23,116
2021,Shetland,Female,0,97,18,13,31,128,31,159
2021,Shetland,Male,2,98,13,19,32,132,32,164
2021,Western Isles,Female,0,78,17,11,28,106,28,134
2021,Western Isles,Male,2,93,13,15,28,123,28,151
